Respondent_Serial,brand,OSAT,Food looks appetizing,Has food that tastes good,Has food I crave,Provides the right proportions of ingredients,Has a wide variety of menu options,Offers healthy/better-for-you menu options,Is making changes to improve their food,"Has a unique, distinctive approach that makes food better",Has a wide range of ingredients,Portions are the right size for my appetite,Has good environmental/sustainability practices,Is worth the price,Is something I can afford to eat regularly,Is competitively priced,Is a good value for the money,Has enticing promotional offers,Has a good loyalty program,Employees show care for my food/order,Provides fast service,Ordering is simple and easy,Employees are friendly and engaging,Level of visibility of my food being made,I’m able to make my order exactly how I would like it,Provides a consistent experience,Integrates technology into its ordering process,Food is easy to eat on-the-go,I can easily order for delivery to a location convenient to me,Food prep area is clean and organized,Restaurant is clean,Environment is warm and inviting,Decor is current and modern,Restaurant environment is designed for someone like me,Restaurant has curb appeal,Ingredients are fresh,Ingredients are high quality,Offers good quality meats,Offers good quality veggies and toppings,Uses freshly baked bread,They make me feel valued,Place I am happy to be seen
4760,Panera,3,6.0,5.0,3.0,7.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,7.0,6.0,4.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,5.0,4.0,7.0,6.0,7.0,7.0,7.0,7.0,5.0,6.0,5.0,5.0
4762,McDonalds,6,4.0,5.0,5.0,6.0,6.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,7.0,7.0,6.0,4.0,2.0,4.0,6.0,7.0,4.0,,5.0,6.0,5.0,7.0,,5.0,6.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,,3.0,4.0,4.0
4762,Panera,4,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,4.0,4.0
4765,Chipotle,7,7.0,7.0,5.0,7.0,4.0,5.0,,,7.0,7.0,5.0,7.0,4.0,4.0,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,7.0,,7.0,7.0,,7.0,,7.0,,,,,,4.0
4765,Panera,4,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,,4.0,4.0,,4.0,4.0,,,,4.0,,4.0,5.0,4.0,,,5.0,4.0,4.0,6.0,4.0,4.0,,4.0,4.0,,,4.0,,4.0
4770,Firehouse Subs,7,7.0,7.0,7.0,6.0,7.0,5.0,6.0,5.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,5.0
4770,Jersey Mikes,6,6.0,7.0,6.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0
4776,Firehouse Subs,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
4776,Jersey Mikes,6,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
4787,Subway,5,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,6.0,5.0,6.0,5.0,3.0,4.0,5.0,5.0,4.0,6.0,6.0,5.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0,6.0,6.0,4.0,4.0
4787,Firehouse Subs,5,5.0,4.0,4.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
4789,Jersey Mikes,6,7.0,7.0,7.0,6.0,5.0,5.0,,4.0,7.0,7.0,,5.0,2.0,2.0,4.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4789,Jimmy Johns,7,7.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,5.0,7.0,,7.0,6.0,6.0,7.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4790,Subway,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4790,McDonalds,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4799,Chipotle,6,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,7.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0
4799,Jimmy Johns,5,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0
4812,McDonalds,6,5.0,6.0,6.0,5.0,6.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
4812,Panera,5,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,4.0,5.0,6.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0
4821,Subway,6,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,7.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,6.0
4821,Chipotle,5,5.0,7.0,5.0,5.0,5.0,6.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,7.0
4822,Firehouse Subs,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0
4822,Jimmy Johns,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
4824,Chipotle,4,7.0,7.0,7.0,6.0,4.0,7.0,6.0,4.0,6.0,4.0,3.0,4.0,7.0,3.0,5.0,6.0,6.0,5.0,5.0,7.0,7.0,4.0,6.0,7.0,7.0,6.0,7.0,5.0,4.0,7.0,4.0,4.0,7.0,5.0,7.0,3.0,5.0,7.0,2.0,1.0
4824,Jersey Mikes,4,5.0,5.0,1.0,7.0,5.0,4.0,7.0,4.0,4.0,7.0,4.0,3.0,6.0,7.0,5.0,2.0,5.0,1.0,7.0,7.0,4.0,4.0,6.0,4.0,4.0,6.0,6.0,6.0,7.0,6.0,4.0,5.0,5.0,5.0,5.0,1.0,7.0,4.0,4.0,1.0
4829,Subway,5,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0
4829,Panera,5,5.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,7.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,7.0,5.0
4840,Jersey Mikes,4,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
4840,Panera,4,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0
4843,Chipotle,3,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0
4843,McDonalds,6,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0
4845,Firehouse Subs,7,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0
4845,Jimmy Johns,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
4877,Jersey Mikes,2,5.0,4.0,,3.0,6.0,5.0,,4.0,4.0,4.0,4.0,4.0,,,3.0,,,,3.0,,,,,3.0,3.0,2.0,2.0,4.0,7.0,,,,3.0,,4.0,4.0,7.0,4.0,1.0,
4877,Panera,1,,3.0,1.0,3.0,,7.0,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,3.0,3.0,1.0,,,2.0,,6.0,7.0,1.0,2.0,1.0,2.0,4.0,4.0,,5.0,7.0,1.0,1.0
4879,Subway,7,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,3.0,5.0,5.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,6.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4879,Jimmy Johns,7,7.0,7.0,7.0,6.0,6.0,7.0,5.0,6.0,7.0,7.0,7.0,6.0,3.0,6.0,6.0,5.0,3.0,7.0,3.0,7.0,6.0,4.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4888,McDonalds,4,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0
4897,Firehouse Subs,4,5.0,5.0,4.0,5.0,5.0,4.0,,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
4897,Panera,5,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
4903,Subway,7,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4903,McDonalds,7,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4908,Subway,3,3.0,3.0,3.0,5.0,6.0,5.0,5.0,3.0,6.0,6.0,3.0,5.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0,5.0,5.0,6.0,7.0,4.0,5.0,4.0,5.0,6.0,2.0,4.0,4.0,3.0,3.0,6.0,4.0,5.0,5.0,6.0,3.0,4.0
4908,Jimmy Johns,4,5.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,6.0,5.0,5.0,6.0,5.0,6.0,3.0,6.0,5.0,6.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0
4916,Jersey Mikes,3,3.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0
4916,McDonalds,4,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
4920,Chipotle,5,6.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,6.0,7.0,6.0,5.0,5.0,6.0,7.0,6.0,6.0,5.0,7.0,5.0,4.0,6.0,6.0,5.0,6.0,4.0,6.0,6.0,5.0,5.0,6.0,5.0,7.0,5.0
4920,Jersey Mikes,5,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,7.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,6.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0
4928,Subway,5,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0
4928,McDonalds,5,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
4941,Chipotle,5,6.0,6.0,5.0,7.0,5.0,5.0,5.0,6.0,7.0,7.0,,5.0,5.0,5.0,5.0,4.0,,5.0,3.0,5.0,,7.0,7.0,5.0,5.0,6.0,7.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,,,6.0
4941,McDonalds,5,4.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,,6.0,7.0,7.0,7.0,4.0,,4.0,5.0,7.0,6.0,3.0,4.0,5.0,4.0,7.0,7.0,,,4.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,,4.0,5.0
4946,Chipotle,5,4.0,5.0,,4.0,5.0,5.0,4.0,4.0,6.0,5.0,4.0,,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,4.0,6.0,4.0,4.0,,,5.0,4.0,4.0,5.0,5.0,4.0,
4946,Panera,4,6.0,6.0,,4.0,5.0,6.0,,,6.0,4.0,,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,5.0,3.0,4.0,,,6.0,4.0,5.0,6.0,6.0,2.0,
4954,Jimmy Johns,1,4.0,4.0,1.0,5.0,7.0,5.0,4.0,4.0,5.0,5.0,,4.0,4.0,1.0,4.0,3.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,5.0,,7.0,5.0,4.0,4.0,4.0,4.0,7.0,6.0,4.0,6.0,7.0,7.0,1.0
4954,McDonalds,6,6.0,7.0,5.0,6.0,7.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0,6.0,6.0,,7.0,6.0,4.0,4.0,4.0,5.0,7.0,5.0,5.0,4.0,1.0,6.0,7.0
4966,Firehouse Subs,5,5.0,6.0,6.0,5.0,7.0,6.0,5.0,7.0,6.0,7.0,1.0,7.0,6.0,6.0,6.0,5.0,5.0,7.0,5.0,6.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,5.0,7.0,6.0,5.0
4966,Jimmy Johns,7,6.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,7.0,5.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0
4975,Firehouse Subs,4,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0
4975,Jimmy Johns,5,5.0,5.0,4.0,7.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,6.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0,5.0,5.0,6.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0
4977,Jersey Mikes,5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4977,Panera,6,7.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0
4985,Jersey Mikes,6,5.0,6.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,6.0,6.0,3.0,4.0,6.0,4.0,3.0,6.0,7.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,5.0,6.0,5.0,5.0,3.0,4.0
4985,Jimmy Johns,5,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,7.0,4.0,4.0,4.0,7.0,7.0,4.0,3.0,7.0,4.0,4.0,7.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0
4987,Subway,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0
4987,Chipotle,6,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,5.0,6.0,5.0,7.0,6.0,7.0,6.0,6.0,5.0,7.0
5002,Firehouse Subs,5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0
5002,Jimmy Johns,5,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0
5010,McDonalds,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
5010,Panera,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
5012,Chipotle,5,5.0,6.0,6.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,,6.0,,4.0,,7.0,4.0,5.0,5.0,6.0,6.0,4.0
5012,Firehouse Subs,5,6.0,6.0,5.0,4.0,5.0,4.0,6.0,6.0,6.0,5.0,,6.0,6.0,6.0,7.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,3.0,6.0,4.0,4.0,5.0,6.0,4.0,,,5.0,5.0,4.0,6.0,6.0,5.0,5.0,7.0,7.0
5016,Subway,6,7.0,7.0,1.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,,5.0,7.0,6.0,7.0,4.0,7.0,7.0,7.0,2.0,3.0,,7.0,7.0,6.0,,7.0,,7.0,6.0,7.0,7.0,7.0,4.0,
5016,McDonalds,5,7.0,6.0,7.0,7.0,4.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,5.0,6.0,6.0,5.0,,4.0,7.0,7.0,3.0,,3.0,7.0,7.0,7.0,,6.0,6.0,4.0,6.0,5.0,4.0,5.0,4.0,3.0,6.0,1.0,4.0,
5026,Subway,5,5.0,7.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,3.0,4.0,5.0,5.0,6.0,4.0,7.0,6.0,5.0,7.0,5.0,5.0,5.0,7.0,5.0,7.0,7.0,4.0,5.0,4.0,4.0,7.0,5.0,6.0,6.0,7.0,5.0,6.0
5026,McDonalds,7,7.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,5.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0
5032,Chipotle,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0
5032,McDonalds,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
5034,Jersey Mikes,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
5034,Jimmy Johns,7,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0
